	ID	cluster	start	stop	strand	family	length of spanned region	genome	contig
9	CYM61_1_IS_4	IS256_128	521084	522384	+	IS256	1300	CYM61	CYM61_1
12	CYM61_1_IS_5	IS5_302	562246	563076		IS5	830	CYM61	CYM61_1
15	CYM61_1_IS_6	IS5_302	579954	580787		IS5	833	CYM61	CYM61_1
18	CYM61_1_IS_7	IS5_302	591988	592818		IS5	830	CYM61	CYM61_1
21	CYM61_1_IS_8	IS5_302	598119	598953		IS5	834	CYM61	CYM61_1
24	CYM61_1_IS_9	IS256_128	1260034	1261331		IS256	1297	CYM61	CYM61_1
27	CYM61_1_IS_10	IS5_302	1269134	1269966		IS5	832	CYM61	CYM61_1
30	CYM61_1_IS_11	IS5_302	1551428	1552258		IS5	830	CYM61	CYM61_1
33	CYM61_1_IS_12	IS5_302	1852529	1853361		IS5	832	CYM61	CYM61_1
36	CYM61_1_IS_13	IS5_302	1915758	1916594		IS5	836	CYM61	CYM61_1
39	CYM61_1_IS_14	IS5_302	2494177	2495010	+	IS5	833	CYM61	CYM61_1
42	CYM61_1_IS_15	IS5_302	2538365	2539196	+	IS5	831	CYM61	CYM61_1
45	CYM61_1_IS_16	IS481_21	2735653	2741000	-	IS481	5347	CYM61	CYM61_1
48	CYM61_1_IS_17	IS3_204	2860875	2862153	+	IS3	1278	CYM61	CYM61_1
51	CYM61_1_IS_18	IS5_302	3494531	3495364	+	IS5	833	CYM61	CYM61_1
54	CYM61_1_IS_19	IS5_302	3650721	3651551		IS5	830	CYM61	CYM61_1
57	CYM61_2_IS_1	IS5_302	17685	18514		IS5	829	CYM61	CYM61_2
60	CYM61_2_IS_2	IS6_292	25519	26344	+	IS6	825	CYM61	CYM61_2
63	CYM61_2_IS_3	IS6_292	122760	123580		IS6	820	CYM61	CYM61_2
66	CYM61_2_IS_4	IS6_292	163592	164417		IS6	825	CYM61	CYM61_2
69	CYM61_2_IS_5	IS6_292	166665	167489		IS6	824	CYM61	CYM61_2
72	CYM61_2_IS_6	IS6_292	173877	174694	+	IS6	817	CYM61	CYM61_2
75	CYM61_2_IS_7	IS5_302	218199	219023	+	IS5	824	CYM61	CYM61_2
78	CYM61_2_IS_8	IS21_67	235112	237580		IS21	2468	CYM61	CYM61_2
81	CYM61_2_IS_9	IS21_67	507858	510325	-	IS21	2467	CYM61	CYM61_2
84	CYM61_2_IS_10	IS21_67	1146387	1148846		IS21	2459	CYM61	CYM61_2
87	CYM61_2_IS_11	IS5_302	1211911	1212750	+	IS5	839	CYM61	CYM61_2
90	CYM61_2_IS_12	IS6_292	1234456	1235280	-	IS6	824	CYM61	CYM61_2
93	CYM61_2_IS_13	IS3_239|IS3||protein:plasmid:133558	1252765	1253826	+	IS3	1061	CYM61	CYM61_2
96	CYM61_2_IS_14	IS5_302	1326005	1326824		IS5	819	CYM61	CYM61_2
99	CYM61_3_IS_1	IS5_222	53382	62773	-	IS5	9391	CYM61	CYM61_3
102	CYM61_3_IS_2	IS5_222	63143	65050		IS5	1907	CYM61	CYM61_3
103	CYM61_3_IS_3	IS6_292	132489	133313	+	IS6	824	CYM61	CYM61_3
106	CYM61_3_IS_4	IS6_292	139800	140617	+	IS6	817	CYM61	CYM61_3
109	CYM61_3_IS_5	IS5_302	152160	152994	-	IS5	834	CYM61	CYM61_3
112	CYM61_3_IS_6	IS5_302	174761	175598	+	IS5	837	CYM61	CYM61_3
115	CYM61_3_IS_7	IS6_292	175989	176814	+	IS6	825	CYM61	CYM61_3
118	CYM61_3_IS_8	IS6_292	182659	183477	-	IS6	818	CYM61	CYM61_3
121	CYM61_3_IS_9	IS5_222	211978	213037	+	IS5	1059	CYM61	CYM61_3
124	CYM61_3_IS_10	IS3_176	237865	239160	+	IS3	1295	CYM61	CYM61_3
0	HA55_1_IS_1	IS3_271	386935	388151		IS3	1216	HA55	HA55_1
3	HA55_1_IS_2	IS3_271	563798	565014		IS3	1216	HA55	HA55_1
6	HA55_1_IS_3	IS1182_100	749071	750603	+	IS1182	1532	HA55	HA55_1
9	HA55_1_IS_4	IS1182_100	855181	856713		IS1182	1532	HA55	HA55_1
12	HA55_1_IS_5	IS630_247	1193112	1194166		IS630	1054	HA55	HA55_1
15	HA55_1_IS_6	IS5_302	1196252	1197087		IS5	835	HA55	HA55_1
18	HA55_1_IS_7	IS110_208	1264719	1266162		IS110	1443	HA55	HA55_1
21	HA55_1_IS_8	IS110_179	1266499	1267979	-	IS110	1480	HA55	HA55_1
24	HA55_1_IS_9	IS6_303	1278890	1280426	+	IS6	1536	HA55	HA55_1
27	HA55_1_IS_10	IS630_247	1920556	1921608	-	IS630	1052	HA55	HA55_1
30	HA55_1_IS_11	IS3_271	1941036	1942252		IS3	1216	HA55	HA55_1
33	HA55_1_IS_12	IS3_271	1951397	1952613	-	IS3	1216	HA55	HA55_1
36	HA55_1_IS_13	IS481_21	2457015	2462097	-	IS481	5082	HA55	HA55_1
39	HA55_1_IS_14	IS110_208	2463029	2464173	+	IS110	1144	HA55	HA55_1
42	HA55_1_IS_15	IS110_208	2464240	2465694	+	IS110	1454	HA55	HA55_1
45	HA55_1_IS_16	IS5_302	2513587	2514415	+	IS5	828	HA55	HA55_1
48	HA55_1_IS_17	IS1182_71	3722602	3724270	+	IS1182	1668	HA55	HA55_1
51	HA55_1_IS_18	IS6_303	4147505	4149163	-	IS6	1658	HA55	HA55_1
54	HA55_1_IS_19	IS1182_100	4149666	4151199		IS1182	1533	HA55	HA55_1
57	HA55_1_IS_20	new_189	4289729	4301485		new	11756	HA55	HA55_1
60	HA55_10_IS_1	IS630_247	8427	9469	+	IS630	1042	HA55	HA55_10
63	HA55_10_IS_2	IS3_271	14598	16918	+	IS3	2320	HA55	HA55_10
66	HA55_10_IS_3	IS110_170	28375	30561	-	IS110	2186	HA55	HA55_10
69	HA55_11_IS_1	IS256_128	203	2760	+	IS256	2557	HA55	HA55_11
72	HA55_11_IS_2	IS6_292	11429	12896	-	IS6	1467	HA55	HA55_11
75	HA55_15_IS_1	IS6_303	8508	9303	-	IS6	795	HA55	HA55_15
78	HA55_17_IS_1	IS5_302	2248	3079	+	IS5	831	HA55	HA55_17
81	HA55_18_IS_1	IS6_303	19536	20343	-	IS6	807	HA55	HA55_18
84	HA55_18_IS_2	IS630_247	20580	21628	+	IS630	1048	HA55	HA55_18
87	HA55_18_IS_3	IS5_302	23378	24212	+	IS5	834	HA55	HA55_18
90	HA55_18_IS_4	IS5_302	30706	32313		IS5	1607	HA55	HA55_18
93	HA55_2_IS_1	IS5_302	558076	558913		IS5	837	HA55	HA55_2
96	HA55_2_IS_2	IS5_222	577694	579210	+	IS5	1516	HA55	HA55_2
99	HA55_2_IS_3	IS3_271	581403	582627	-	IS3	1224	HA55	HA55_2
102	HA55_2_IS_4	IS630_247	815463	816844	+	IS630	1381	HA55	HA55_2
105	HA55_2_IS_5	IS5_302	893891	894728	-	IS5	837	HA55	HA55_2
108	HA55_2_IS_6	IS6_303	983249	984094	-	IS6	845	HA55	HA55_2
111	HA55_2_IS_7	IS3_176	989803	991100	+	IS3	1297	HA55	HA55_2
114	HA55_2_IS_8	IS6_292	1002033	1002849	+	IS6	816	HA55	HA55_2
117	HA55_2_IS_9	IS6_292	1052027	1052835	-	IS6	808	HA55	HA55_2
120	HA55_2_IS_10	IS6_292	1095809	1096625	-	IS6	816	HA55	HA55_2
123	HA55_2_IS_11	IS6_292	1165845	1166738		IS6	893	HA55	HA55_2
124	HA55_20_IS_1	IS5_222	2000	3426	+	IS5	1426	HA55	HA55_20
127	HA55_20_IS_2	IS3_271	6361	8271	+	IS3	1910	HA55	HA55_20
130	HA55_21_IS_1	IS110_184	4	1692	-	IS110	1688	HA55	HA55_21
133	HA55_22_IS_1	IS5_222	4338	5408	-	IS5	1070	HA55	HA55_22
136	HA55_26_IS_1	IS6_303	3920	5076	-	IS6	1156	HA55	HA55_26
139	HA55_3_IS_1	IS30_173	11160	12380	-	IS30	1220	HA55	HA55_3
142	HA55_3_IS_2	ISNCY_86	12363	14415	-	ISNCY	2052	HA55	HA55_3
145	HA55_3_IS_3	IS6_303	70900	72701	-	IS6	1801	HA55	HA55_3
148	HA55_3_IS_4	IS3_271	72662	74159	+	IS3	1497	HA55	HA55_3
151	HA55_3_IS_5	IS5_222	100313	102280	-	IS5	1967	HA55	HA55_3
154	HA55_3_IS_6	IS1182_100	105764	107346	-	IS1182	1582	HA55	HA55_3
157	HA55_3_IS_7	IS6_292	177996	178974	-	IS6	978	HA55	HA55_3
160	HA55_3_IS_8	IS30_173	186563	188022	+	IS30	1459	HA55	HA55_3
163	HA55_3_IS_9	ISNCY_86	200626	202679		ISNCY	2053	HA55	HA55_3
166	HA55_3_IS_10	IS21_122	208813	211105	+	IS21	2292	HA55	HA55_3
169	HA55_4_IS_1	IS110_208	65477	67370	+	IS110	1893	HA55	HA55_4
172	HA55_4_IS_2	IS630_247	69138	70194	-	IS630	1056	HA55	HA55_4
175	HA55_4_IS_3	IS91_83	82701	84850	-	IS91	2149	HA55	HA55_4
178	HA55_4_IS_4	IS66_46	85408	87773	+	IS66	2365	HA55	HA55_4
181	HA55_4_IS_5	IS5_108	119479	121321	+	IS5	1842	HA55	HA55_4
184	HA55_4_IS_6	IS630_247	163975	165030	+	IS630	1055	HA55	HA55_4
187	HA55_4_IS_7	IS1182_71	165343	168279	-	IS1182	2936	HA55	HA55_4
190	HA55_4_IS_8	IS5_222	170549	172462	+	IS5	1913	HA55	HA55_4
191	HA55_4_IS_9	IS5_222	180002	182241		IS5	2239	HA55	HA55_4
194	HA55_4_IS_10	IS4_169	188260	189945	+	IS4	1685	HA55	HA55_4
197	HA55_5_IS_1	IS6_303	11245	12052	-	IS6	807	HA55	HA55_5
200	HA55_5_IS_2	IS5_222	12077	13166	+	IS5	1089	HA55	HA55_5
203	HA55_5_IS_3	IS256_128	59575	61082	+	IS256	1507	HA55	HA55_5
206	HA55_7_IS_1	IS91_83	21571	24405	+	IS91	2834	HA55	HA55_7
209	HA55_8_IS_1	IS630_247	35082	36130	-	IS630	1048	HA55	HA55_8
212	HA55_9_IS_1	IS6_292	6421	9004	+	IS6	2583	HA55	HA55_9
0	L2_1_IS_1	IS3_168	635338	636651	+	IS3	1313	L2	L2_1
3	L2_1_IS_2	IS3_271	641799	643014	+	IS3	1215	L2	L2_1
6	L2_1_IS_3	IS256_92	1685672	1687087	+	IS256	1415	L2	L2_1
9	L2_1_IS_4	IS3_271	1766250	1767466	+	IS3	1216	L2	L2_1
12	L2_1_IS_5	IS3_271	1848384	1849600	+	IS3	1216	L2	L2_1
15	L2_1_IS_6	IS256_92	2471388	2472800		IS256	1412	L2	L2_1
18	L2_1_IS_7	IS3_271	2491104	2492320	-	IS3	1216	L2	L2_1
21	L2_1_IS_8	IS3_271	2523214	2524430	+	IS3	1216	L2	L2_1
24	L2_1_IS_9	IS3_271	3828529	3829745	+	IS3	1216	L2	L2_1
27	L2_2_IS_1	IS3_239|IS3||protein:plasmid:133558	288571	289530	+	IS3	959	L2	L2_2
30	L2_2_IS_2	IS3_239|IS3||protein:plasmid:133558	289620	290311	+	IS3	691	L2	L2_2
33	L2_3_IS_1	IS5_222	146	1221		IS5	1075	L2	L2_3
36	L2_3_IS_2	IS5_222	9914	10988		IS5	1074	L2	L2_3
39	L2_3_IS_3	IS6_303	28283	29091		IS6	808	L2	L2_3
42	L2_3_IS_4	IS6_303	39524	40332	-	IS6	808	L2	L2_3
45	L2_3_IS_5	IS6_303	53666	54474	+	IS6	808	L2	L2_3
48	L2_3_IS_6	IS6_303	55897	56705	-	IS6	808	L2	L2_3
51	L2_3_IS_7	IS91_83	69369	70293	+	IS91	924	L2	L2_3
54	L2_3_IS_8	IS5_200	69948	71084	-	IS5	1136	L2	L2_3
57	L2_3_IS_9	IS6_303	78241	79049		IS6	808	L2	L2_3
60	L2_3_IS_10	IS6_303	104614	105422	+	IS6	808	L2	L2_3
63	L2_3_IS_11	IS21_67	122939	125433		IS21	2494	L2	L2_3
66	L2_3_IS_12	IS91_83	125493	126303	+	IS91	810	L2	L2_3
69	L2_3_IS_13	IS21_67	212318	214814	-	IS21	2496	L2	L2_3
72	L2_3_IS_14	IS6_303	230531	231339		IS6	808	L2	L2_3
75	L2_3_IS_15	IS6_303	236138	236948		IS6	810	L2	L2_3
78	L2_3_IS_16	IS6_303	243020	243834	+	IS6	814	L2	L2_3
81	L2_3_IS_17	IS5_200	271410	272245		IS5	835	L2	L2_3
84	L2_3_IS_18	IS6_303	272268	273076	+	IS6	808	L2	L2_3
87	L2_3_IS_19	IS21_67	283740	286236	-	IS21	2496	L2	L2_3
90	L2_3_IS_20	IS3_168	310143	311455	+	IS3	1312	L2	L2_3
93	L2_3_IS_21	IS5_222	311797	312873	+	IS5	1076	L2	L2_3
96	L2_3_IS_22	IS5_222	321582	322658		IS5	1076	L2	L2_3
99	L2_3_IS_23	IS6_303	339950	340758	+	IS6	808	L2	L2_3
102	L2_4_IS_1	IS6_303	28356	30947	-	IS6	2591	L2	L2_4
103	L2_4_IS_2	IS6_292	30871	33594	-	IS6	2723	L2	L2_4
104	L2_4_IS_3	IS6_303	33052	34744	+	IS6	1692	L2	L2_4
105	L2_4_IS_4	IS6_303	69482	70518	+	IS6	1036	L2	L2_4
108	L2_4_IS_5	IS6_292	132735	133551	-	IS6	816	L2	L2_4
111	L2_4_IS_6	IS91_83	161180	162344	+	IS91	1164	L2	L2_4
114	L2_4_IS_7	IS6_303	262163	264747	-	IS6	2584	L2	L2_4
115	L2_4_IS_8	IS6_292	264671	267385		IS6	2714	L2	L2_4
116	L2_4_IS_9	IS6_303	266845	268535	+	IS6	1690	L2	L2_4
117	L2_5_IS_1	IS110_208	58518	60183	-	IS110	1665	L2	L2_5
120	L2_5_IS_2	IS3_465	84287	85347	+	IS3	1060	L2	L2_5
123	L2_5_IS_3	IS3_239|IS3||protein:plasmid:133558	110143	111361	+	IS3	1218	L2	L2_5
126	L2_5_IS_4	IS110_208	120014	121856	-	IS110	1842	L2	L2_5
129	L2_5_IS_5	IS3_204	128715	129923	+	IS3	1208	L2	L2_5
132	L2_5_IS_6	IS5_222	129338	130729	-	IS5	1391	L2	L2_5
135	L2_6_IS_1	IS6_292	26831	29444	-	IS6	2613	L2	L2_6
136	L2_6_IS_2	IS110_184	60604	62406	+	IS110	1802	L2	L2_6
139	L2_6_IS_3	IS6_292	62402	63226	-	IS6	824	L2	L2_6
142	L2_6_IS_4	IS91_83	92085	93063	-	IS91	978	L2	L2_6
145	L2_6_IS_5	IS256_92	108571	109831	-	IS256	1260	L2	L2_6
148	L2_6_IS_6	IS110_184	160992	162095	+	IS110	1103	L2	L2_6
151	L2_6_IS_7	IS21_67	166620	169115		IS21	2495	L2	L2_6
154	L2_6_IS_8	IS21_67	182048	184544	-	IS21	2496	L2	L2_6
157	L2_6_IS_9	IS110_179	203914	205665	-	IS110	1751	L2	L2_6
160	L2_6_IS_10	IS1182_71	231179	232847	-	IS1182	1668	L2	L2_6
163	L2_6_IS_11	IS6_292	267015	269627	-	IS6	2612	L2	L2_6
0	L7_1_IS_1	IS5_302	962478	963315		IS5	837	L7	L7_1
3	L7_1_IS_2	IS5_302	1066748	1067583	-	IS5	835	L7	L7_1
6	L7_1_IS_3	IS5_302	1068472	1069307		IS5	835	L7	L7_1
9	L7_1_IS_4	IS5_302	1151356	1152189	+	IS5	833	L7	L7_1
12	L7_1_IS_5	IS5_302	1274660	1275497		IS5	837	L7	L7_1
15	L7_1_IS_6	IS256_92	1319766	1321148		IS256	1382	L7	L7_1
18	L7_1_IS_7	IS5_302	1554576	1555410		IS5	834	L7	L7_1
21	L7_1_IS_8	IS5_302	1607255	1608090	+	IS5	835	L7	L7_1
24	L7_1_IS_9	IS5_302	1610467	1611300	+	IS5	833	L7	L7_1
27	L7_1_IS_10	IS5_302	2639054	2639889		IS5	835	L7	L7_1
30	L7_1_IS_11	IS5_302	2644669	2645504		IS5	835	L7	L7_1
33	L7_1_IS_12	IS5_302	2664441	2665276	-	IS5	835	L7	L7_1
36	L7_1_IS_13	IS256_92	2681394	2682777	-	IS256	1383	L7	L7_1
39	L7_1_IS_14	IS110_184	2683890	2685256		IS110	1366	L7	L7_1
42	L7_1_IS_15	IS5_302	2727380	2728215	+	IS5	835	L7	L7_1
45	L7_1_IS_16	IS5_302	2759098	2759931	+	IS5	833	L7	L7_1
48	L7_1_IS_17	IS5_302	2777985	2778818		IS5	833	L7	L7_1
51	L7_1_IS_18	IS110_184	3119548	3120915	+	IS110	1367	L7	L7_1
54	L7_1_IS_19	IS110_184	3565140	3566507	+	IS110	1367	L7	L7_1
57	L7_1_IS_20	IS110_184	3569581	3570948	+	IS110	1367	L7	L7_1
60	L7_1_IS_21	IS3_168	3572082	3573396	-	IS3	1314	L7	L7_1
63	L7_1_IS_22	IS3_239|IS3||protein:plasmid:133558	3598301	3599663	+	IS3	1362	L7	L7_1
66	L7_1_IS_23	IS5_108	3599238	3600508	-	IS5	1270	L7	L7_1
69	L7_1_IS_24	IS91_83	3642078	3643351	+	IS91	1273	L7	L7_1
72	L7_1_IS_25	IS3_168	3659994	3661308	-	IS3	1314	L7	L7_1
75	L7_1_IS_26	IS5_302	3667079	3667911		IS5	832	L7	L7_1
78	L7_2_IS_1	IS5_302	127911	128744		IS5	833	L7	L7_2
81	L7_2_IS_2	IS5_302	154418	155253		IS5	835	L7	L7_2
84	L7_2_IS_3	IS5_302	157615	158450	+	IS5	835	L7	L7_2
87	L7_2_IS_4	IS110_184	175815	177181	+	IS110	1366	L7	L7_2
90	L7_2_IS_5	IS5_302	215042	215877		IS5	835	L7	L7_2
93	L7_2_IS_6	IS110_184	256772	258137	+	IS110	1365	L7	L7_2
96	L7_2_IS_7	IS110_184	273922	275526	-	IS110	1604	L7	L7_2
99	L7_2_IS_8	IS6_303	310565	311373	+	IS6	808	L7	L7_2
102	L7_2_IS_9	IS91_83	312566	313846	+	IS91	1280	L7	L7_2
105	L7_2_IS_10	IS6_303	347953	348760		IS6	807	L7	L7_2
108	L7_2_IS_11	IS6_303	351087	351897	-	IS6	810	L7	L7_2
111	L7_2_IS_12	IS5_302	354115	354950		IS5	835	L7	L7_2
114	L7_2_IS_13	IS5_302	417896	418731		IS5	835	L7	L7_2
117	L7_2_IS_14	IS5_302	489068	489901	-	IS5	833	L7	L7_2
120	L7_2_IS_15	IS5_302	539313	540150		IS5	837	L7	L7_2
123	L7_3_IS_1	IS256_92	40061	41444	-	IS256	1383	L7	L7_3
126	L7_3_IS_2	IS21_67	55047	57543	-	IS21	2496	L7	L7_3
129	L7_3_IS_3	IS6_303	73263	74071	-	IS6	808	L7	L7_3
132	L7_3_IS_4	IS5_279	74649	75486		IS5	837	L7	L7_3
135	L7_3_IS_5	IS6_303	78871	79679		IS6	808	L7	L7_3
138	L7_3_IS_6	IS6_303	84243	85057	+	IS6	814	L7	L7_3
141	L7_3_IS_7	IS6_303	93217	94025	-	IS6	808	L7	L7_3
144	L7_3_IS_8	IS5_200	101372	102622	-	IS5	1250	L7	L7_3
147	L7_3_IS_9	IS6_303	102625	103433	+	IS6	808	L7	L7_3
150	L7_3_IS_10	IS5_279	103549	104384		IS5	835	L7	L7_3
153	L7_3_IS_11	IS5_279	114921	115756		IS5	835	L7	L7_3
156	L7_3_IS_12	IS21_67	115762	118257		IS21	2495	L7	L7_3
159	L7_3_IS_13	IS110_179	161667	163418	-	IS110	1751	L7	L7_3
162	L7_3_IS_14	IS91_83	174400	175324	+	IS91	924	L7	L7_3
165	L7_3_IS_15	IS5_200	174989	176239	-	IS5	1250	L7	L7_3
168	L7_3_IS_16	IS6_303	183271	184079		IS6	808	L7	L7_3
171	L7_3_IS_17	IS5_279	208723	209558		IS5	835	L7	L7_3
174	L7_3_IS_18	IS6_303	211889	212697	-	IS6	808	L7	L7_3
177	L7_3_IS_19	IS5_279	212759	213596	+	IS5	837	L7	L7_3
180	L7_3_IS_20	IS6_303	228114	228922	+	IS6	808	L7	L7_3
183	L7_3_IS_21	IS6_303	239362	240170	-	IS6	808	L7	L7_3
186	L7_3_IS_22	IS5_222	257473	258549	-	IS5	1076	L7	L7_3
189	L7_3_IS_23	IS5_222	267261	268337	-	IS5	1076	L7	L7_3
192	L7_3_IS_24	IS3_168	268679	269993	-	IS3	1314	L7	L7_3
195	L7_3_IS_25	IS256_92	270691	272076	+	IS256	1385	L7	L7_3
198	L7_3_IS_26	IS256_92	275079	276462	-	IS256	1383	L7	L7_3
201	L7_3_IS_27	IS21_67	287589	290085	+	IS21	2496	L7	L7_3
204	L7_3_IS_28	IS91_83	290145	290955	+	IS91	810	L7	L7_3
207	L7_3_IS_29	IS256_92	378369	379751		IS256	1382	L7	L7_3
210	L7_4_IS_1	IS6_292	8536	11147	-	IS6	2611	L7	L7_4
211	L7_4_IS_2	IS1182_71	39703	41371	+	IS1182	1668	L7	L7_4
214	L7_4_IS_3	IS110_184	43638	45440	+	IS110	1802	L7	L7_4
217	L7_4_IS_4	IS6_292	45436	46260	-	IS6	824	L7	L7_4
220	L7_4_IS_5	IS6_292	192794	195405	-	IS6	2611	L7	L7_4
221	L7_5_IS_1	IS5_108	8341	11024		IS5	2683	L7	L7_5
222	L7_5_IS_2	IS5_108	61033	63720		IS5	2687	L7	L7_5
223	L7_5_IS_3	IS256_128	65254	66646	-	IS256	1392	L7	L7_5
226	L7_5_IS_4	IS5_108	74671	77358	-	IS5	2687	L7	L7_5
0	AA12_1_IS_1	IS3_271	10580	11750		IS3	1170	AA12	AA12_1
3	AA12_1_IS_2	IS3_271	14940	16110	-	IS3	1170	AA12	AA12_1
6	AA12_1_IS_3	IS5_364	23223	32134		IS5	8911	AA12	AA12_1
9	AA12_1_IS_4	IS3_271	34560	35730		IS3	1170	AA12	AA12_1
12	AA12_1_IS_5	IS110_236	36541	37536	+	IS110	995	AA12	AA12_1
15	AA12_1_IS_6	IS3_271	50496	51666		IS3	1170	AA12	AA12_1
18	AA12_1_IS_7	IS3_271	96946	98115		IS3	1169	AA12	AA12_1
21	AA12_1_IS_8	IS3_271	108847	110017		IS3	1170	AA12	AA12_1
24	AA12_1_IS_9	IS110_170	114428	115719	-	IS110	1291	AA12	AA12_1
27	AA12_1_IS_10	IS3_168	117204	118438	+	IS3	1234	AA12	AA12_1
30	AA12_1_IS_11	IS3_271	131554	132724		IS3	1170	AA12	AA12_1
33	AA12_1_IS_12	IS110_179	149840	151436	-	IS110	1596	AA12	AA12_1
36	AA12_1_IS_13	IS3_271	184387	185557		IS3	1170	AA12	AA12_1
39	AA12_1_IS_14	IS3_271	188749	189919	-	IS3	1170	AA12	AA12_1
42	AA12_1_IS_15	IS5_364	197036	205951	-	IS5	8915	AA12	AA12_1
45	AA12_2_IS_1	IS6_303	1	2884	+	IS6	2883	AA12	AA12_2
46	AA12_2_IS_2	IS3_168	21523	22751	+	IS3	1228	AA12	AA12_2
49	AA12_2_IS_3	IS110_208	26851	34032	+	IS110	7181	AA12	AA12_2
52	AA12_2_IS_4	IS6_292	37945	40867	-	IS6	2922	AA12	AA12_2
53	AA12_2_IS_5	IS110_184	40716	46460	+	IS110	5744	AA12	AA12_2
56	AA12_2_IS_6	IS3_271	57208	58377		IS3	1169	AA12	AA12_2
59	AA12_2_IS_7	IS3_168	64753	65983	+	IS3	1230	AA12	AA12_2
62	AA12_2_IS_8	IS1182_100	65778	67302	-	IS1182	1524	AA12	AA12_2
65	AA12_2_IS_9	IS3_271	103838	105008		IS3	1170	AA12	AA12_2
68	AA12_2_IS_10	IS110_208	105844	107235	-	IS110	1391	AA12	AA12_2
71	AA12_2_IS_11	IS110_179	112151	113713	+	IS110	1562	AA12	AA12_2
74	AA12_2_IS_12	IS3_271	122108	123278		IS3	1170	AA12	AA12_2
77	AA12_2_IS_13	IS3_168	138579	139809	-	IS3	1230	AA12	AA12_2
80	AA12_2_IS_14	IS3_271	159027	160197		IS3	1170	AA12	AA12_2
83	AA12_2_IS_15	IS1182_100	170856	172388	-	IS1182	1532	AA12	AA12_2
86	AA12_2_IS_16	IS110_208	180465	181688	+	IS110	1223	AA12	AA12_2
89	AA12_2_IS_17	IS6_292	182511	183322	+	IS6	811	AA12	AA12_2
92	AA12_2_IS_18	IS3_168	187006	188236	+	IS3	1230	AA12	AA12_2
95	AA12_2_IS_19	IS3_271	203169	204339		IS3	1170	AA12	AA12_2
98	AA12_2_IS_20	IS3_168	204661	205891	+	IS3	1230	AA12	AA12_2
